PERIMETRE_SUPERIOR,APB_ID,NUMERO_PLANTES,US_EDIFICACIO,TIPUS_EDIFICACIO,LIT_DENOMINACIO,DENOMINACIO_TEXT,SEQENTITAT,SW_URN,DENOMINACIO_ANG,PUNT_BASE_ANG
"POLYGON ((2.158101958 41.342066071,2.158109253 41.342050856,2.158142913 41.342060011,2.158135629 41.342075226,2.158101958 41.342066071))","4","1",Instal·lacions de serveis,Edificació secundària o auxiliar,,,"250330",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ4,,-0.419
"POLYGON ((2.146636164 41.328815546,2.146289301 41.328937029,2.146188833 41.328773453,2.146158785 41.328724518,2.145974713 41.328424821,2.145950898 41.328432985,2.145927589 41.328395062,2.145951028 41.328386435,2.145939926 41.328367275,2.146286801 41.328246442,2.146286977 41.328246723,2.146636164 41.328815546))","419","1",Indeterminat,No classificat,,,"250557",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ419,,-0.425
"POLYGON ((2.187354636 41.379405588,2.18736149 41.379404438,2.187368749 41.379402535,2.187375006 41.379400408,2.187380692 41.379398097,2.187388405 41.379394314,2.18739723 41.379390522,2.187418549 41.379418694,2.187381145 41.379434752,2.187376133 41.379428114,2.187372059 41.379421987,2.187368715 41.379417829,2.187364737 41.379413604,2.187359769 41.379409191,2.187354636 41.379405588))","506",,Instal·lacions de serveis,Carpa,Mòdul moll Barceloneta,Mòdul moll Barceloneta,"250604",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ506,70,-0.404
"POLYGON ((2.188017509 41.375473381,2.187993849 41.375366115,2.188301535 41.37532784,2.188325196 41.375435016,2.188017509 41.375473381))","315","2",Instal·lacions de serveis,Edifici principal,Taller Escar,Taller Escar,"250515",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ315,6.99,-0.404
"POLYGON ((2.182250136 41.379865166,2.182341305 41.379901069,2.182347228 41.380131092,2.18225865 41.380171888,2.18200662 41.380067872,2.18199358 41.38005198,2.181994718 41.379984062,2.182250136 41.379865166))","304","1",Edifici oficial APB,Edifici principal,Dispensari M.Bosch i Alsina APB,Dispensari M.Bosch i Alsina APB,"250504",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ304,26.5,-0.407
"POLYGON ((2.164080892 41.351940316,2.16400387 41.35197041,2.163989277 41.351949623,2.164066299 41.351919529,2.164080892 41.351940316))","189","1",Instal·lacions de serveis,Edificació secundària o auxiliar,ET-2TCB,ET-2TCB,"250441",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ189,,-0.416
"POLYGON ((2.187170605 41.368658328,2.187166909 41.368638215,2.18715829 41.368590955,2.187208814 41.368585727,2.187221129 41.3686531,2.187170605 41.368658328))","353","1",Magatzem,Edificació secundària o auxiliar,,,"250543",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ353,,-0.404
"POLYGON ((2.184506418 41.377538593,2.184490169 41.377518184,2.183967729 41.376862175,2.184039607 41.376726634,2.183800604 41.376425953,2.184351537 41.376176663,2.184390742 41.376158962,2.18482871 41.37671209,2.184506418 41.377538593))","300","2",Oci,Edifici principal,L'AQUARIUM,L'AQUARIUM,"250501",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ300,-51.5,-0.406
"POLYGON ((2.153961085 41.33634383,2.153961658 41.336344807,2.153961974 41.33634535,2.153919258 41.33635571,2.153916987 41.336352045,2.153873666 41.336367571,2.1538509 41.336331491,2.153894244 41.336315956,2.15390633 41.336335123,2.153946553 41.336320736,2.153961085 41.33634383))","10","1",Instal·lacions de serveis,Edificació secundària o auxiliar,ET-1942,ET-1942,"250335",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ10,,-0.421
"POLYGON ((2.174866443 41.359888189,2.174874598 41.359885212,2.174890909 41.359879249,2.174912938 41.359913771,2.174888628 41.359922658,2.174866443 41.359888189))","585","1",Instal·lacions de serveis,Edificació secundària o auxiliar,Ergransa báscula,Ergransa báscula,"250616",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ585,-57.2,-0.41
